Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
256.000	3.5554e+06	-1.379e+06	-0.3880	-21.205	0.12348
257.000	3.9110e+06	-5.030e+05	-0.1286	-7.328	0.12275
258.000	4.6587e+06	2.5805e+05	0.05539	3.170	0.12255
259.000	5.8636e+06	8.0730e+05	0.13768	7.839	0.12291
260.000	7.0647e+06	1.0025e+06	0.14190	8.076	0.12335
261.000	8.2287e+06	9.5827e+05	0.11646	6.642	0.12371
262.000	9.2587e+06	6.9827e+05	0.07542	4.313	0.12399
263.000	1.0170e+07	1.8889e+05	0.01857	1.064	0.12414
264.000	1.0872e+07	-4.469e+05	-0.0411	-2.354	0.12407
265.000	1.1437e+07	-1.048e+06	-0.0917	-5.238	0.12380
266.000	1.1851e+07	-1.698e+06	-0.1432	-8.151	0.12332
267.000	1.2095e+07	-2.405e+06	-0.1989	-11.247	0.12266
268.000	1.2271e+07	-3.050e+06	-0.2485	-13.957	0.12189
269.000	1.2425e+07	-3.473e+06	-0.2795	-15.618	0.12111
270.000	1.2466e+07	-3.985e+06	-0.3197	-17.728	0.12014
271.000	1.2460e+07	-4.505e+06	-0.3616	-19.879	0.11921
272.000	1.2402e+07	-4.827e+06	-0.3892	-21.268	0.11815
273.000	1.2375e+07	-5.178e+06	-0.4184	-22.703	0.11712
274.000	1.2223e+07	-5.488e+06	-0.4490	-24.181	0.11598
275.000	1.2193e+07	-5.695e+06	-0.4671	-25.035	0.11500
276.000	1.2196e+07	-6.020e+06	-0.4936	-26.271	0.11408
277.000	1.2161e+07	-6.176e+06	-0.5079	-26.925	0.11311
278.000	1.1989e+07	-6.375e+06	-0.5317	-28.001	0.11200
279.000	1.1972e+07	-6.523e+06	-0.5449	-28.584	0.11107
280.000	1.2071e+07	-6.583e+06	-0.5453	-28.605	0.11027
281.000	1.1937e+07	-6.700e+06	-0.5613	-29.304	0.10925
282.000	1.2072e+07	-6.766e+06	-0.5605	-29.269	0.10846
283.000	1.2133e+07	-6.867e+06	-0.5660	-29.508	0.10767
284.000	1.2241e+07	-7.036e+06	-0.5748	-29.892	0.10690
285.000	1.2304e+07	-7.208e+06	-0.5859	-30.365	0.10611
286.000	1.2345e+07	-7.160e+06	-0.5800	-30.113	0.10530
287.000	1.0508e+07	-7.658e+06	-0.7288	-36.084	0.10291
288.001	1.2246e+07	-7.257e+06	-0.5926	-30.651	0.10355
289.001	1.2773e+07	-7.728e+06	-0.6050	-31.173	0.10322
290.001	1.0831e+07	-8.012e+06	-0.7397	-36.491	0.10080
291.001	-2.394e+07	-6.255e+06	0.26130	194.644	0.10468
292.001	1.1024e+07	-8.380e+06	-0.7602	-37.243	0.09944
293.001	1.1118e+07	-8.511e+06	-0.7655	-37.434	0.09872
294.001	1.1446e+07	-8.842e+06	-0.7725	-37.686	0.09826
295.001	1.1209e+07	-9.011e+06	-0.8039	-38.794	0.09733
296.001	1.1326e+07	-9.159e+06	-0.8087	-38.963	0.09669
297.001	1.1468e+07	-9.440e+06	-0.8232	-39.461	0.09605
298.001	1.1626e+07	-9.241e+06	-0.7949	-38.480	0.09544
299.001	1.1440e+07	-9.726e+06	-0.8502	-40.371	0.09462
300.001	1.3628e+07	-9.470e+06	-0.6949	-34.795	0.09547
301.001	1.1532e+07	-9.968e+06	-0.8643	-40.837	0.09327
302.001	1.1304e+07	-1.061e+07	-0.9382	-43.173	0.09246
303.001	1.1485e+07	-1.026e+07	-0.8931	-41.768	0.09187
304.001	1.1760e+07	-1.045e+07	-0.8882	-41.613	0.09140
305.001	1.1659e+07	-1.067e+07	-0.9151	-42.462	0.09067
